Epoch: [8][80/97], lr: 0.01000	Time 0.146 (0.152)	Data 0.000 (0.011)	Loss 1.6140 (1.7652)	Prec@1 39.844 (44.444)	Prec@5 89.844 (89.892)
Epoch: [8][90/97], lr: 0.01000	Time 0.144 (0.151)	Data 0.000 (0.011)	Loss 1.8978 (1.7598)	Prec@1 20.312 (42.428)	Prec@5 89.844 (89.655)
Epoch: [9][0/97], lr: 0.01000	Time 0.160 (0.160)	Data 0.105 (0.105)	Loss 1.7684 (1.7684)	Prec@1 46.094 (46.094)	Prec@5 93.750 (93.750)
Epoch: [9][10/97], lr: 0.01000	Time 0.144 (0.146)	Data 0.000 (0.018)	Loss 1.7468 (1.6383)	Prec@1 37.500 (44.176)	Prec@5 89.062 (92.685)
Epoch: [9][20/97], lr: 0.01000	Time 0.143 (0.145)	Data 0.000 (0.014)	Loss 1.9203 (1.6951)	Prec@1 44.531 (43.527)	Prec@5 89.844 (91.667)
Epoch: [9][30/97], lr: 0.01000	Time 0.144 (0.144)	Data 0.000 (0.012)	Loss 1.6949 (1.6433)	Prec@1 34.375 (40.726)	Prec@5 90.625 (91.356)
Epoch: [9][40/97], lr: 0.01000	Time 0.146 (0.144)	Data 0.001 (0.011)	Loss 1.8817 (1.6652)	Prec@1 40.625 (39.329)	Prec@5 83.594 (90.930)
Epoch: [9][50/97], lr: 0.01000	Time 0.144 (0.144)	Data 0.000 (0.011)	Loss 1.7170 (1.6835)	Prec@1 49.219 (39.400)	Prec@5 90.625 (90.257)
Epoch: [9][60/97], lr: 0.01000	Time 0.143 (0.144)	Data 0.000 (0.011)	Loss 1.5424 (1.6839)	Prec@1 30.469 (39.203)	Prec@5 91.406 (90.215)
Epoch: [9][70/97], lr: 0.01000	Time 0.143 (0.144)	Data 0.000 (0.010)	Loss 1.7200 (1.6789)	Prec@1 35.938 (38.567)	Prec@5 94.531 (90.262)
Epoch: [9][80/97], lr: 0.01000	Time 0.144 (0.144)	Data 0.000 (0.010)	Loss 1.8113 (1.6699)	Prec@1 42.188 (39.120)	Prec@5 89.062 (90.557)
Epoch: [9][90/97], lr: 0.01000	Time 0.144 (0.144)	Data 0.000 (0.010)	Loss 1.6236 (1.6812)	Prec@1 55.469 (40.565)	Prec@5 92.188 (90.719)
Epoch: [10][0/97], lr: 0.01000	Time 0.146 (0.146)	Data 0.092 (0.092)	Loss 1.8079 (1.8079)	Prec@1 47.656 (47.656)	Prec@5 89.062 (89.062)
Epoch: [10][10/97], lr: 0.01000	Time 0.143 (0.144)	Data 0.000 (0.016)	Loss 1.6769 (1.6313)	Prec@1 42.188 (47.017)	Prec@5 92.188 (90.554)
Epoch: [10][20/97], lr: 0.01000	Time 0.144 (0.144)	Data 0.000 (0.013)	Loss 1.4813 (1.6152)	Prec@1 39.844 (47.061)	Prec@5 94.531 (91.667)
Epoch: [10][30/97], lr: 0.01000	Time 0.143 (0.144)	Data 0.000 (0.012)	Loss 1.7908 (1.6476)	Prec@1 46.875 (45.968)	Prec@5 89.062 (92.036)
Epoch: [10][40/97], lr: 0.01000	Time 0.144 (0.144)	Data 0.000 (0.011)	Loss 1.5900 (1.6617)	Prec@1 42.969 (46.094)	Prec@5 96.875 (92.130)
Epoch: [10][50/97], lr: 0.01000	Time 0.134 (0.144)	Data 0.000 (0.011)	Loss 1.7704 (1.6630)	Prec@1 50.781 (46.155)	Prec@5 92.969 (91.912)
Epoch: [10][60/97], lr: 0.01000	Time 0.144 (0.144)	Data 0.000 (0.010)	Loss 1.7628 (1.6551)	Prec@1 32.031 (46.696)	Prec@5 88.281 (91.970)
Epoch: [10][70/97], lr: 0.01000	Time 0.144 (0.144)	Data 0.000 (0.010)	Loss 1.5623 (1.6530)	Prec@1 29.688 (44.124)	Prec@5 85.938 (91.582)
Epoch: [10][80/97], lr: 0.01000	Time 0.144 (0.144)	Data 0.000 (0.010)	Loss 1.5375 (1.6420)	Prec@1 53.906 (43.673)	Prec@5 92.188 (91.667)
Epoch: [10][90/97], lr: 0.01000	Time 0.144 (0.144)	Data 0.000 (0.010)	Loss 1.7936 (1.6469)	Prec@1 39.844 (43.990)	Prec@5 92.188 (91.698)
Epoch: [11][0/97], lr: 0.01000	Time 0.160 (0.160)	Data 0.106 (0.106)	Loss 1.6024 (1.6024)	Prec@1 28.125 (28.125)	Prec@5 89.844 (89.844)
Epoch: [11][10/97], lr: 0.01000	Time 0.143 (0.145)	Data 0.000 (0.018)	Loss 1.5230 (1.6416)	Prec@1 52.344 (39.702)	Prec@5 85.156 (88.636)
Epoch: [11][20/97], lr: 0.01000	Time 0.144 (0.145)	Data 0.007 (0.014)	Loss 1.4158 (1.5987)	Prec@1 38.281 (42.485)	Prec@5 93.750 (90.365)
Epoch: [11][30/97], lr: 0.01000	Time 0.143 (0.144)	Data 0.000 (0.012)	Loss 1.3276 (1.6240)	Prec@1 50.000 (40.222)	Prec@5 96.875 (90.953)
Epoch: [11][40/97], lr: 0.01000	Time 0.144 (0.144)	Data 0.000 (0.012)	Loss 1.8518 (1.6654)	Prec@1 39.844 (39.787)	Prec@5 86.719 (90.739)
Epoch: [11][50/97], lr: 0.01000	Time 0.143 (0.144)	Data 0.000 (0.011)	Loss 1.4473 (1.6985)	Prec@1 55.469 (41.636)	Prec@5 95.312 (90.548)
Epoch: [11][60/97], lr: 0.01000	Time 0.145 (0.144)	Data 0.000 (0.011)	Loss 1.8697 (1.6824)	Prec@1 46.875 (43.660)	Prec@5 91.406 (90.843)
Epoch: [11][70/97], lr: 0.01000	Time 0.143 (0.144)	Data 0.000 (0.011)	Loss 1.4251 (1.6717)	Prec@1 34.375 (44.377)	Prec@5 89.062 (90.922)
Epoch: [11][80/97], lr: 0.01000	Time 0.144 (0.144)	Data 0.000 (0.010)	Loss 1.7708 (1.6764)	Prec@1 35.156 (43.798)	Prec@5 87.500 (90.702)
Epoch: [11][90/97], lr: 0.01000	Time 0.144 (0.144)	Data 0.000 (0.010)	Loss 1.3413 (1.6636)	Prec@1 36.719 (42.831)	Prec@5 93.750 (90.659)
Epoch: [12][0/97], lr: 0.01000	Time 0.148 (0.148)	Data 0.093 (0.093)	Loss 1.3513 (1.3513)	Prec@1 52.344 (52.344)	Prec@5 93.750 (93.750)
Epoch: [12][10/97], lr: 0.01000	Time 0.141 (0.144)	Data 0.000 (0.017)	Loss 2.1169 (1.6179)	Prec@1 26.562 (47.798)	Prec@5 92.969 (93.182)
Epoch: [12][20/97], lr: 0.01000	Time 0.144 (0.145)	Data 0.000 (0.013)	Loss 1.5536 (1.6367)	Prec@1 55.469 (42.262)	Prec@5 93.750 (92.225)
Epoch: [12][30/97], lr: 0.01000	Time 0.143 (0.145)	Data 0.000 (0.012)	Loss 1.5329 (1.6218)	Prec@1 51.562 (46.421)	Prec@5 92.188 (92.465)
Epoch: [12][40/97], lr: 0.01000	Time 0.143 (0.145)	Data 0.000 (0.011)	Loss 1.4748 (1.5968)	Prec@1 50.781 (46.665)	Prec@5 96.094 (92.702)
Epoch: [12][50/97], lr: 0.01000	Time 0.144 (0.145)	Data 0.000 (0.011)	Loss 1.9061 (1.6004)	Prec@1 42.188 (45.895)	Prec@5 90.625 (92.509)
Epoch: [12][60/97], lr: 0.01000	Time 0.145 (0.145)	Data 0.000 (0.010)	Loss 1.5561 (1.5806)	Prec@1 39.844 (45.505)	Prec@5 95.312 (92.367)
Epoch: [12][70/97], lr: 0.01000	Time 0.144 (0.145)	Data 0.000 (0.010)	Loss 1.3914 (1.5776)	Prec@1 48.438 (45.808)	Prec@5 96.875 (92.650)
Epoch: [12][80/97], lr: 0.01000	Time 0.143 (0.145)	Data 0.000 (0.010)	Loss 1.5299 (1.5970)	Prec@1 33.594 (44.965)	Prec@5 92.188 (92.477)
Epoch: [12][90/97], lr: 0.01000	Time 0.144 (0.145)	Data 0.000 (0.010)	Loss 1.4129 (1.5963)	Prec@1 41.406 (44.583)	Prec@5 92.969 (92.308)
Epoch: [13][0/97], lr: 0.01000	Time 0.143 (0.143)	Data 0.089 (0.089)	Loss 1.2798 (1.2798)	Prec@1 57.031 (57.031)	Prec@5 95.312 (95.312)
Epoch: [13][10/97], lr: 0.01000	Time 0.143 (0.143)	Data 0.000 (0.016)	Loss 1.3445 (1.6551)	Prec@1 42.969 (50.355)	Prec@5 91.406 (92.472)
Epoch: [13][20/97], lr: 0.01000	Time 0.144 (0.144)	Data 0.000 (0.013)	Loss 1.3446 (1.6604)	Prec@1 39.844 (40.439)	Prec@5 94.531 (92.113)
Epoch: [13][30/97], lr: 0.01000	Time 0.143 (0.144)	Data 0.000 (0.012)	Loss 1.6320 (1.6300)	Prec@1 55.469 (42.238)	Prec@5 96.094 (91.986)
Epoch: [13][40/97], lr: 0.01000	Time 0.145 (0.145)	Data 0.000 (0.011)	Loss 1.1605 (1.6011)	Prec@1 60.156 (46.513)	Prec@5 94.531 (92.454)
Epoch: [13][50/97], lr: 0.01000	Time 0.143 (0.145)	Data 0.011 (0.011)	Loss 1.4401 (1.5753)	Prec@1 46.875 (47.212)	Prec@5 92.188 (92.310)
Epoch: [13][60/97], lr: 0.01000	Time 0.144 (0.145)	Data 0.000 (0.011)	Loss 1.4834 (1.5682)	Prec@1 50.781 (47.989)	Prec@5 93.750 (92.418)
Epoch: [13][70/97], lr: 0.01000	Time 0.144 (0.144)	Data 0.000 (0.010)	Loss 1.7541 (1.5808)	Prec@1 52.344 (48.482)	Prec@5 90.625 (92.287)
Epoch: [13][80/97], lr: 0.01000	Time 0.143 (0.144)	Data 0.000 (0.010)	Loss 1.6545 (1.5849)	Prec@1 50.781 (48.486)	Prec@5 90.625 (92.419)
Epoch: [13][90/97], lr: 0.01000	Time 0.143 (0.144)	Data 0.000 (0.010)	Loss 1.7566 (1.5741)	Prec@1 46.094 (48.438)	Prec@5 95.312 (92.462)
Epoch: [14][0/97], lr: 0.01000	Time 0.157 (0.157)	Data 0.101 (0.101)	Loss 1.5472 (1.5472)	Prec@1 29.688 (29.688)	Prec@5 88.281 (88.281)
Epoch: [14][10/97], lr: 0.01000	Time 0.143 (0.145)	Data 0.000 (0.017)	Loss 1.3504 (1.4651)	Prec@1 42.969 (36.648)	Prec@5 94.531 (91.264)
Epoch: [14][20/97], lr: 0.01000	Time 0.144 (0.144)	Data 0.000 (0.013)	Loss 1.5782 (1.5273)	Prec@1 51.562 (44.940)	Prec@5 96.094 (92.336)
Epoch: [14][30/97], lr: 0.01000	Time 0.143 (0.146)	Data 0.000 (0.012)	Loss 1.4539 (1.5201)	Prec@1 42.969 (46.447)	Prec@5 94.531 (92.566)
Epoch: [14][40/97], lr: 0.01000	Time 0.143 (0.146)	Data 0.000 (0.011)	Loss 1.4163 (1.5287)	Prec@1 49.219 (46.456)	Prec@5 91.406 (92.492)
Epoch: [14][50/97], lr: 0.01000	Time 0.147 (0.145)	Data 0.000 (0.011)	Loss 1.6733 (1.5362)	Prec@1 35.938 (46.170)	Prec@5 92.969 (92.325)
Epoch: [14][60/97], lr: 0.01000	Time 0.144 (0.145)	Data 0.000 (0.011)	Loss 1.6395 (1.5384)	Prec@1 52.344 (46.401)	Prec@5 92.969 (92.636)
