Epoch: [8][20/97], lr: 0.01000	Time 0.140 (0.140)	Data 0.000 (0.013)	Loss 4.6751 (3.5331)	Prec@1 69.531 (77.046)	Prec@5 96.094 (97.805)
Epoch: [8][30/97], lr: 0.01000	Time 0.139 (0.140)	Data 0.000 (0.011)	Loss 2.7636 (3.4762)	Prec@1 82.031 (77.218)	Prec@5 99.219 (97.681)
Epoch: [8][40/97], lr: 0.01000	Time 0.140 (0.140)	Data 0.000 (0.011)	Loss 3.3836 (3.4360)	Prec@1 76.562 (77.382)	Prec@5 99.219 (97.713)
Epoch: [8][50/97], lr: 0.01000	Time 0.139 (0.140)	Data 0.000 (0.010)	Loss 4.3485 (3.4319)	Prec@1 69.531 (77.466)	Prec@5 96.875 (97.595)
Epoch: [8][60/97], lr: 0.01000	Time 0.139 (0.140)	Data 0.000 (0.010)	Loss 3.3322 (3.4398)	Prec@1 78.125 (77.357)	Prec@5 96.875 (97.503)
Epoch: [8][70/97], lr: 0.01000	Time 0.140 (0.140)	Data 0.000 (0.010)	Loss 3.5467 (3.4238)	Prec@1 75.781 (77.432)	Prec@5 96.094 (97.491)
Epoch: [8][80/97], lr: 0.01000	Time 0.139 (0.140)	Data 0.000 (0.010)	Loss 3.5874 (3.4486)	Prec@1 79.688 (77.324)	Prec@5 96.875 (97.454)
Epoch: [8][90/97], lr: 0.01000	Time 0.140 (0.140)	Data 0.000 (0.010)	Loss 3.5314 (3.4611)	Prec@1 78.125 (77.181)	Prec@5 98.438 (97.407)
Epoch: [9][0/97], lr: 0.01000	Time 0.148 (0.148)	Data 0.092 (0.092)	Loss 3.6169 (3.6169)	Prec@1 75.781 (75.781)	Prec@5 98.438 (98.438)
Epoch: [9][10/97], lr: 0.01000	Time 0.139 (0.141)	Data 0.000 (0.016)	Loss 4.7756 (3.4736)	Prec@1 71.094 (76.776)	Prec@5 92.969 (97.514)
Epoch: [9][20/97], lr: 0.01000	Time 0.140 (0.140)	Data 0.000 (0.013)	Loss 3.6443 (3.2453)	Prec@1 79.688 (78.720)	Prec@5 96.094 (97.582)
Epoch: [9][30/97], lr: 0.01000	Time 0.139 (0.140)	Data 0.000 (0.011)	Loss 3.3087 (3.2757)	Prec@1 76.562 (78.705)	Prec@5 96.094 (97.581)
Epoch: [9][40/97], lr: 0.01000	Time 0.139 (0.140)	Data 0.000 (0.011)	Loss 3.0802 (3.2908)	Prec@1 78.125 (78.639)	Prec@5 99.219 (97.713)
Epoch: [9][50/97], lr: 0.01000	Time 0.143 (0.140)	Data 0.000 (0.010)	Loss 3.1568 (3.2662)	Prec@1 80.469 (78.768)	Prec@5 100.000 (97.763)
Epoch: [9][60/97], lr: 0.01000	Time 0.139 (0.140)	Data 0.000 (0.010)	Loss 4.1636 (3.2886)	Prec@1 70.312 (78.381)	Prec@5 97.656 (97.810)
Epoch: [9][70/97], lr: 0.01000	Time 0.140 (0.140)	Data 0.000 (0.010)	Loss 4.0998 (3.3000)	Prec@1 71.094 (78.235)	Prec@5 99.219 (97.876)
Epoch: [9][80/97], lr: 0.01000	Time 0.140 (0.140)	Data 0.000 (0.010)	Loss 3.5742 (3.3318)	Prec@1 77.344 (78.115)	Prec@5 97.656 (97.830)
Epoch: [9][90/97], lr: 0.01000	Time 0.139 (0.140)	Data 0.000 (0.010)	Loss 2.7283 (3.3383)	Prec@1 81.250 (78.108)	Prec@5 98.438 (97.819)
