Epoch: [9][30/97], lr: 0.01000	Time 0.139 (0.141)	Data 0.000 (0.012)	Loss 3.3129 (3.1020)	Prec@1 74.219 (80.393)	Prec@5 98.438 (97.833)
Epoch: [9][40/97], lr: 0.01000	Time 0.140 (0.141)	Data 0.000 (0.011)	Loss 3.4203 (3.1429)	Prec@1 77.344 (80.278)	Prec@5 96.094 (97.923)
Epoch: [9][50/97], lr: 0.01000	Time 0.140 (0.140)	Data 0.000 (0.011)	Loss 2.9495 (3.1692)	Prec@1 79.688 (80.009)	Prec@5 99.219 (97.871)
Epoch: [9][60/97], lr: 0.01000	Time 0.139 (0.140)	Data 0.000 (0.010)	Loss 2.8823 (3.1306)	Prec@1 82.031 (80.353)	Prec@5 96.094 (97.976)
Epoch: [9][70/97], lr: 0.01000	Time 0.140 (0.140)	Data 0.000 (0.010)	Loss 3.0793 (3.1234)	Prec@1 82.031 (80.381)	Prec@5 97.656 (98.052)
Epoch: [9][80/97], lr: 0.01000	Time 0.140 (0.140)	Data 0.000 (0.010)	Loss 2.5560 (3.1339)	Prec@1 82.812 (80.247)	Prec@5 98.438 (98.032)
Epoch: [9][90/97], lr: 0.01000	Time 0.140 (0.140)	Data 0.000 (0.010)	Loss 3.6510 (3.1568)	Prec@1 77.344 (80.091)	Prec@5 96.875 (97.974)
Epoch: [10][0/97], lr: 0.01000	Time 0.149 (0.149)	Data 0.094 (0.094)	Loss 2.9708 (2.9708)	Prec@1 81.250 (81.250)	Prec@5 96.875 (96.875)
Epoch: [10][10/97], lr: 0.01000	Time 0.139 (0.141)	Data 0.000 (0.016)	Loss 3.1157 (3.0653)	Prec@1 80.469 (80.753)	Prec@5 96.875 (98.295)
Epoch: [10][20/97], lr: 0.01000	Time 0.140 (0.141)	Data 0.000 (0.013)	Loss 2.7394 (3.0353)	Prec@1 82.031 (80.990)	Prec@5 98.438 (98.363)
Epoch: [10][30/97], lr: 0.01000	Time 0.142 (0.140)	Data 0.000 (0.011)	Loss 3.5102 (3.0899)	Prec@1 79.688 (80.721)	Prec@5 96.875 (98.286)
Epoch: [10][40/97], lr: 0.01000	Time 0.140 (0.140)	Data 0.000 (0.011)	Loss 3.0045 (3.0937)	Prec@1 82.031 (80.869)	Prec@5 96.875 (98.285)
Epoch: [10][50/97], lr: 0.01000	Time 0.140 (0.140)	Data 0.000 (0.010)	Loss 3.2540 (3.0642)	Prec@1 78.906 (80.928)	Prec@5 96.094 (98.300)
Epoch: [10][60/97], lr: 0.01000	Time 0.139 (0.140)	Data 0.000 (0.010)	Loss 3.1236 (3.0677)	Prec@1 81.250 (80.827)	Prec@5 97.656 (98.181)
Epoch: [10][70/97], lr: 0.01000	Time 0.140 (0.140)	Data 0.000 (0.010)	Loss 3.5073 (3.0594)	Prec@1 79.688 (80.964)	Prec@5 96.875 (98.140)
Epoch: [10][80/97], lr: 0.01000	Time 0.141 (0.140)	Data 0.000 (0.010)	Loss 2.9192 (3.0841)	Prec@1 82.812 (80.903)	Prec@5 98.438 (98.129)
Epoch: [10][90/97], lr: 0.01000	Time 0.139 (0.140)	Data 0.000 (0.010)	Loss 3.7918 (3.1243)	Prec@1 75.000 (80.512)	Prec@5 96.094 (98.103)
Epoch: [11][0/97], lr: 0.01000	Time 0.149 (0.149)	Data 0.094 (0.094)	Loss 3.4712 (3.4712)	Prec@1 79.688 (79.688)	Prec@5 97.656 (97.656)
Epoch: [11][10/97], lr: 0.01000	Time 0.140 (0.140)	Data 0.000 (0.016)	Loss 3.0534 (2.9246)	Prec@1 79.688 (82.173)	Prec@5 99.219 (98.651)
Epoch: [11][20/97], lr: 0.01000	Time 0.139 (0.140)	Data 0.000 (0.013)	Loss 2.6410 (2.8893)	Prec@1 83.594 (82.143)	Prec@5 96.094 (98.586)
Epoch: [11][30/97], lr: 0.01000	Time 0.140 (0.140)	Data 0.000 (0.011)	Loss 2.7728 (2.9531)	Prec@1 81.250 (81.351)	Prec@5 100.000 (98.589)
Epoch: [11][40/97], lr: 0.01000	Time 0.140 (0.140)	Data 0.000 (0.011)	Loss 3.8151 (3.0159)	Prec@1 75.000 (81.002)	Prec@5 96.094 (98.361)
Epoch: [11][50/97], lr: 0.01000	Time 0.139 (0.140)	Data 0.000 (0.010)	Loss 3.0772 (3.0486)	Prec@1 78.906 (80.852)	Prec@5 96.875 (98.238)
Epoch: [11][60/97], lr: 0.01000	Time 0.140 (0.140)	Data 0.000 (0.010)	Loss 3.1914 (3.0725)	Prec@1 81.250 (80.763)	Prec@5 98.438 (98.245)
Epoch: [11][70/97], lr: 0.01000	Time 0.140 (0.140)	Data 0.000 (0.010)	Loss 3.4974 (3.1051)	Prec@1 80.469 (80.656)	Prec@5 97.656 (98.228)
Epoch: [11][80/97], lr: 0.01000	Time 0.139 (0.140)	Data 0.000 (0.010)	Loss 3.2980 (3.0796)	Prec@1 78.906 (80.797)	Prec@5 98.438 (98.274)
Epoch: [11][90/97], lr: 0.01000	Time 0.139 (0.140)	Data 0.000 (0.010)	Loss 3.5575 (3.0573)	Prec@1 78.906 (81.001)	Prec@5 97.656 (98.274)
Epoch: [12][0/97], lr: 0.01000	Time 0.158 (0.158)	Data 0.104 (0.104)	Loss 2.8738 (2.8738)	Prec@1 82.812 (82.812)	Prec@5 97.656 (97.656)
Epoch: [12][10/97], lr: 0.01000	Time 0.139 (0.141)	Data 0.000 (0.017)	Loss 3.1960 (2.8585)	Prec@1 79.688 (82.528)	Prec@5 100.000 (98.580)
Epoch: [12][20/97], lr: 0.01000	Time 0.139 (0.141)	Data 0.000 (0.013)	Loss 3.0790 (2.7768)	Prec@1 82.031 (82.664)	Prec@5 100.000 (98.624)
Epoch: [12][30/97], lr: 0.01000	Time 0.141 (0.140)	Data 0.000 (0.012)	Loss 2.3957 (2.8040)	Prec@1 84.375 (82.560)	Prec@5 98.438 (98.538)
Epoch: [12][40/97], lr: 0.01000	Time 0.140 (0.140)	Data 0.000 (0.011)	Loss 2.9204 (2.8280)	Prec@1 82.031 (82.412)	Prec@5 98.438 (98.399)
Epoch: [12][50/97], lr: 0.01000	Time 0.139 (0.140)	Data 0.000 (0.011)	Loss 2.9273 (2.8606)	Prec@1 82.031 (82.184)	Prec@5 97.656 (98.376)
Epoch: [12][60/97], lr: 0.01000	Time 0.139 (0.140)	Data 0.000 (0.010)	Loss 2.1950 (2.8577)	Prec@1 88.281 (82.262)	Prec@5 97.656 (98.335)
Epoch: [12][70/97], lr: 0.01000	Time 0.139 (0.140)	Data 0.000 (0.010)	Loss 3.0163 (2.8586)	Prec@1 82.031 (82.251)	Prec@5 97.656 (98.382)
Epoch: [12][80/97], lr: 0.01000	Time 0.141 (0.140)	Data 0.000 (0.010)	Loss 3.6981 (2.9012)	Prec@1 76.562 (81.944)	Prec@5 95.312 (98.312)
Epoch: [12][90/97], lr: 0.01000	Time 0.139 (0.140)	Data 0.000 (0.010)	Loss 3.1004 (2.9234)	Prec@1 78.906 (81.705)	Prec@5 98.438 (98.292)
Epoch: [13][0/97], lr: 0.01000	Time 0.147 (0.147)	Data 0.093 (0.093)	Loss 2.9048 (2.9048)	Prec@1 78.906 (78.906)	Prec@5 98.438 (98.438)
Epoch: [13][10/97], lr: 0.01000	Time 0.139 (0.140)	Data 0.000 (0.016)	Loss 2.4017 (2.8517)	Prec@1 85.156 (82.741)	Prec@5 99.219 (98.580)
Epoch: [13][20/97], lr: 0.01000	Time 0.140 (0.140)	Data 0.000 (0.013)	Loss 2.7721 (2.7137)	Prec@1 82.812 (83.259)	Prec@5 96.875 (98.624)
Epoch: [13][30/97], lr: 0.01000	Time 0.140 (0.140)	Data 0.000 (0.011)	Loss 3.1631 (2.7458)	Prec@1 78.906 (82.888)	Prec@5 99.219 (98.614)
Epoch: [13][40/97], lr: 0.01000	Time 0.139 (0.140)	Data 0.000 (0.011)	Loss 3.0037 (2.8203)	Prec@1 78.125 (82.279)	Prec@5 99.219 (98.533)
Epoch: [13][50/97], lr: 0.01000	Time 0.139 (0.140)	Data 0.000 (0.010)	Loss 1.9360 (2.7212)	Prec@1 88.281 (82.996)	Prec@5 99.219 (98.667)
Epoch: [13][60/97], lr: 0.01000	Time 0.140 (0.140)	Data 0.000 (0.010)	Loss 2.6233 (2.7659)	Prec@1 82.812 (82.838)	Prec@5 99.219 (98.591)
Epoch: [13][70/97], lr: 0.01000	Time 0.139 (0.140)	Data 0.000 (0.010)	Loss 2.9269 (2.7823)	Prec@1 82.812 (82.603)	Prec@5 97.656 (98.570)
Epoch: [13][80/97], lr: 0.01000	Time 0.140 (0.140)	Data 0.000 (0.010)	Loss 2.5942 (2.7876)	Prec@1 83.594 (82.600)	Prec@5 99.219 (98.505)
Epoch: [13][90/97], lr: 0.01000	Time 0.140 (0.140)	Data 0.000 (0.010)	Loss 3.1485 (2.8315)	Prec@1 79.688 (82.263)	Prec@5 96.875 (98.463)
Epoch: [14][0/97], lr: 0.01000	Time 0.149 (0.149)	Data 0.093 (0.093)	Loss 3.1466 (3.1466)	Prec@1 78.125 (78.125)	Prec@5 98.438 (98.438)
Epoch: [14][10/97], lr: 0.01000	Time 0.139 (0.141)	Data 0.000 (0.016)	Loss 3.1898 (2.7483)	Prec@1 81.250 (83.594)	Prec@5 99.219 (99.148)
Epoch: [14][20/97], lr: 0.01000	Time 0.140 (0.140)	Data 0.000 (0.013)	Loss 2.5314 (2.8328)	Prec@1 84.375 (82.924)	Prec@5 99.219 (99.107)
